Country;Year;LPI Rank;LPI Score;Customs;Customs;Infrastructure;Infrastructure;International shipments;International shipments;Logistics competence;Logistics competence;Tracking & tracing;Tracking & tracing;Timeliness;Timeliness
Portugal;2016;36;3.41;30;3.37;49;3.09;47;3.24;47;3.15;29;3.65;27;3.95
New Zealand;2016;37;3.39;37;3.18;29;3.55;80;2.77;41;3.22;32;3.58;19;4.12
Estonia;2016;38;3.36;29;3.41;44;3.18;56;3.07;46;3.18;48;3.25;20;4.08
Iceland;2016;39;3.35;43;3.13;51;3.02;42;3.32;39;3.26;40;3.42;32;3.88
Panama;2016;40;3.34;42;3.13;38;3.28;16;3.65;45;3.18;63;2.95;41;3.74
Slovak Republic;2016;41;3.34;32;3.28;39;3.24;36;3.41;51;3.12;55;3.12;36;3.81
Kenya;2016;42;3.33;39;3.17;42;3.21;46;3.24;40;3.24;38;3.42;46;3.70
Latvia;2016;43;3.33;45;3.11;41;3.24;44;3.28;37;3.29;39;3.42;49;3.62
Bahrain;2016;44;3.31;41;3.14;48;3.10;41;3.33;33;3.38;44;3.32;51;3.58
Thailand;2016;45;3.26;46;3.11;46;3.12;38;3.37;49;3.14;50;3.20;52;3.56
Chile;2016;46;3.25;35;3.19;63;2.77;43;3.30;56;2.97;34;3.50;44;3.71
Greece;2016;47;3.24;55;2.85;37;3.32;64;2.97;60;2.91;30;3.59;34;3.85
Oman;2016;48;3.23;61;2.76;34;3.44;40;3.35;38;3.26;57;3.09;57;3.50
Egypt, Arab Rep.;2016;49;3.18;65;2.75;50;3.07;45;3.27;43;3.20;54;3.15;48;3.63
Slovenia;2016;50;3.18;53;2.88;43;3.19;53;3.10;44;3.20;46;3.27;60;3.47
Croatia;2016;51;3.16;47;3.07;53;2.99;51;3.12;42;3.21;52;3.16;67;3.39
Saudi Arabia;2016;52;3.16;68;2.69;40;3.24;48;3.23;54;3.00;49;3.25;53;3.53
Kuwait;2016;53;3.15;56;2.83;56;2.92;24;3.62;70;2.79;53;3.16;55;3.51
Mexico;2016;54;3.11;54;2.88;57;2.89;61;3.00;48;3.14;42;3.40;68;3.38
Brazil;2016;55;3.09;62;2.76;47;3.11;72;2.90;50;3.12;45;3.28;66;3.39
Malta;2016;56;3.07;59;2.78;55;2.94;55;3.09;65;2.85;56;3.12;50;3.61
Botswana;2016;57;3.05;48;3.05;54;2.96;70;2.91;75;2.74;70;2.89;43;3.72
Uganda;2016;58;3.04;51;2.97;67;2.74;74;2.88;57;2.93;59;3.01;45;3.70
Cyprus;2016;59;3.00;44;3.11;52;3.00;78;2.80;76;2.72;98;2.54;38;3.79
Romania;2016;60;2.99;50;3.00;58;2.88;57;3.06;67;2.82;64;2.95;81;3.22
Tanzania;2016;61;2.99;60;2.78;60;2.81;63;2.98;58;2.92;60;2.98;64;3.44
Rwanda;2016;62;2.99;52;2.93;76;2.62;59;3.05;63;2.87;58;3.04;69;3.35
Indonesia;2016;63;2.98;69;2.69;73;2.65;71;2.90;55;3.00;51;3.19;62;3.46
Vietnam;2016;64;2.98;64;2.75;70;2.70;50;3.12;62;2.88;75;2.84;56;3.50
Uruguay;2016;65;2.97;58;2.78;61;2.79;69;2.91;53;3.01;74;2.84;59;3.47
Argentina;2016;66;2.96;76;2.63;59;2.86;81;2.76;66;2.83;47;3.26;61;3.47
Jordan;2016;67;2.96;83;2.55;62;2.77;49;3.17;61;2.89;62;2.96;71;3.34
Pakistan;2016;68;2.92;71;2.66;69;2.70;66;2.93;68;2.82;67;2.91;58;3.48
Peru;2016;69;2.89;63;2.76;75;2.62;68;2.91;64;2.87;65;2.94;80;3.23
Brunei;2016;70;2.87;57;2.78;66;2.75;62;3.00;93;2.57;68;2.91;84;3.19
Philippines;2016;71;2.86;78;2.61;82;2.55;60;3.01;77;2.70;73;2.86;70;3.35
Bulgaria;2016;72;2.81;97;2.40;101;2.35;67;2.93;52;3.06;80;2.72;72;3.31
Cambodia;2016;73;2.80;77;2.62;99;2.36;52;3.11;89;2.60;81;2.70;73;3.30
Ecuador;2016;74;2.78;74;2.64;88;2.47;65;2.95;84;2.66;86;2.65;77;3.23
Algeria;2016;75;2.77;108;2.37;80;2.58;77;2.80;59;2.91;72;2.86;91;3.08
Serbia;2016;76;2.76;87;2.50;85;2.49;90;2.63;69;2.79;66;2.92;79;3.23
Kazakhstan;2016;77;2.75;86;2.52;65;2.76;82;2.75;92;2.57;71;2.86;92;3.06
Bahamas, The;2016;78;2.75;72;2.65;68;2.72;79;2.80;73;2.74;87;2.64;105;2.93
Namibia;2016;79;2.74;73;2.65;64;2.76;86;2.69;86;2.63;100;2.52;85;3.19
Ukraine;2016;80;2.74;116;2.30;84;2.49;95;2.59;95;2.55;61;2.96;54;3.51
Burkina Faso;2016;81;2.73;84;2.55;71;2.67;83;2.73;71;2.78;103;2.49;88;3.13
Lebanon;2016;82;2.72;66;2.73;74;2.64;75;2.84;108;2.45;78;2.75;111;2.86
El Salvador;2016;83;2.71;107;2.37;114;2.25;76;2.82;83;2.66;76;2.78;74;3.29
Mozambique;2016;84;2.68;88;2.49;116;2.24;58;3.06;109;2.44;79;2.75;97;3.04
Guyana;2016;85;2.67;98;2.40;118;2.24;89;2.66;85;2.66;69;2.90;90;3.12
Morocco;2016;86;2.67;124;2.22;90;2.46;54;3.09;91;2.59;122;2.34;83;3.20
Bangladesh;2016;87;2.66;82;2.57;87;2.48;84;2.73;80;2.67;92;2.59;109;2.90
Ghana;2016;88;2.66;93;2.46;86;2.48;85;2.71;98;2.54;101;2.52;82;3.21
Costa Rica;2016;89;2.65;113;2.33;107;2.32;73;2.89;94;2.55;77;2.77;101;2.98
Nigeria;2016;90;2.63;92;2.46;96;2.40;118;2.43;74;2.74;82;2.70;95;3.04
Dominican Republic;2016;91;2.63;101;2.39;111;2.29;87;2.67;79;2.68;88;2.63;93;3.06
Togo;2016;92;2.62;89;2.49;117;2.24;93;2.62;106;2.46;91;2.60;76;3.24
Moldova;2016;93;2.61;99;2.39;100;2.35;94;2.60;103;2.48;85;2.67;86;3.16
Colombia;2016;94;2.61;129;2.21;95;2.43;103;2.55;81;2.67;96;2.55;78;3.23
Cote d'Ivoire;2016;95;2.60;70;2.67;89;2.46;105;2.54;87;2.62;89;2.62;128;2.71
Iran, Islamic Rep.;2016;96;2.60;110;2.33;72;2.67;88;2.67;82;2.67;111;2.44;116;2.81
Bosnia and Herzegovina;2016;97;2.60;67;2.69;77;2.61;140;2.28;99;2.52;95;2.56;103;2.94
Comoros;2016;98;2.58;75;2.63;98;2.36;98;2.58;88;2.60;113;2.44;115;2.82
Russian Federation;2016;99;2.57;141;2.01;94;2.43;115;2.45;72;2.76;90;2.62;87;3.15
Niger;2016;100;2.56;81;2.59;121;2.22;91;2.63;100;2.50;121;2.35;98;3.02
Paraguay;2016;101;2.56;103;2.38;92;2.45;96;2.58;78;2.69;126;2.30;107;2.93
Nicaragua;2016;102;2.53;90;2.48;83;2.50;107;2.50;96;2.55;107;2.47;134;2.68
Sudan;2016;103;2.53;122;2.23;126;2.20;100;2.57;118;2.36;104;2.49;75;3.28
Maldives;2016;104;2.51;102;2.39;81;2.57;132;2.34;111;2.44;102;2.49;110;2.88
Papua New Guinea;2016;105;2.51;85;2.55;106;2.32;114;2.46;121;2.35;93;2.58;120;2.78
Macedonia, FYR;2016;106;2.51;127;2.21;79;2.58;116;2.45;120;2.36;123;2.32;89;3.13
Burundi;2016;107;2.51;137;2.02;147;1.98;119;2.42;107;2.46;83;2.68;63;3.45
Mongolia;2016;108;2.51;100;2.39;140;2.05;129;2.37;129;2.31;108;2.47;65;3.40
Mali;2016;109;2.50;94;2.45;109;2.30;112;2.48;105;2.46;120;2.36;106;2.93
Tunisia;2016;110;2.50;147;1.96;93;2.44;133;2.33;90;2.59;84;2.67;99;3.00
Guatemala;2016;111;2.48;91;2.47;127;2.20;120;2.41;130;2.30;110;2.46;100;2.98
Honduras;2016;112;2.46;126;2.21;143;2.04;97;2.58;110;2.44;99;2.53;108;2.91
Myanmar;2016;113;2.46;96;2.43;105;2.33;144;2.23;119;2.36;94;2.57;112;2.85
Zambia;2016;114;2.43;119;2.25;113;2.26;106;2.51;114;2.42;119;2.36;124;2.74
Benin;2016;115;2.43;130;2.20;97;2.39;104;2.55;104;2.47;129;2.23;130;2.69
Solomon Islands;2016;116;2.42;79;2.60;124;2.21;139;2.28;112;2.43;132;2.18;121;2.76
Albania;2016;117;2.41;121;2.23;148;1.98;110;2.48;102;2.48;135;2.15;94;3.05
Uzbekistan;2016;118;2.40;114;2.32;91;2.45;130;2.36;116;2.39;143;2.05;114;2.83
Jamaica;2016;119;2.40;109;2.37;120;2.23;117;2.44;126;2.31;116;2.38;136;2.64
Belarus;2016;120;2.40;136;2.06;135;2.10;92;2.62;125;2.32;134;2.16;96;3.04
Trinidad and Tobago;2016;121;2.40;104;2.38;104;2.34;137;2.31;132;2.28;127;2.28;119;2.79
Venezuela, RB;2016;122;2.39;145;1.99;102;2.35;113;2.47;122;2.34;106;2.48;127;2.71
Montenegro;2016;123;2.38;125;2.22;138;2.07;101;2.56;127;2.31;117;2.37;131;2.69
Nepal;2016;124;2.38;149;1.93;112;2.27;109;2.50;140;2.13;109;2.47;104;2.93
Ethiopia;2016;126;2.38;80;2.60;133;2.12;102;2.56;117;2.37;133;2.18;149;2.37
Congo, Rep.;2016;125;2.38;143;2.00;78;2.60;127;2.37;133;2.26;105;2.48;143;2.57
Congo, Dem. Rep.;2016;127;2.38;123;2.22;146;2.01;135;2.33;123;2.33;118;2.37;102;2.94
Guinea-Bissau;2016;128;2.37;95;2.44;152;1.91;99;2.57;148;2.07;114;2.41;123;2.74
Guinea;2016;129;2.36;117;2.28;145;2.01;124;2.38;97;2.54;97;2.54;148;2.38
Georgia;2016;130;2.35;118;2.26;128;2.17;131;2.35;146;2.08;112;2.44;117;2.80
Cuba;2016;131;2.35;105;2.38;108;2.31;136;2.31;135;2.25;124;2.31;145;2.51
Senegal;2016;132;2.33;115;2.31;119;2.23;143;2.25;115;2.39;136;2.15;138;2.61
São Tomé and Príncipe;2016;133;2.33;120;2.24;132;2.12;142;2.26;113;2.42;137;2.14;122;2.75
Djibouti;2016;134;2.32;106;2.37;110;2.30;111;2.48;152;1.96;139;2.09;132;2.69
Bhutan;2016;135;2.32;128;2.21;151;1.96;108;2.50;131;2.30;131;2.20;129;2.70
Fiji;2016;136;2.32;111;2.33;115;2.25;147;2.21;134;2.25;128;2.25;140;2.60
Libya;2016;137;2.26;153;1.88;142;2.04;123;2.40;101;2.50;153;1.85;113;2.83
Bolivia;2016;138;2.25;146;1.97;134;2.11;122;2.40;154;1.90;125;2.31;118;2.79
Angola;2016;139;2.24;157;1.80;129;2.13;128;2.37;128;2.31;130;2.21;141;2.59
Turkmenistan;2016;140;2.21;142;2.00;103;2.34;126;2.37;145;2.09;154;1.84;142;2.59
Armenia;2016;141;2.21;148;1.95;122;2.22;146;2.22;137;2.21;147;2.02;139;2.60
Liberia;2016;142;2.20;135;2.07;144;2.01;145;2.22;147;2.07;140;2.07;125;2.73
Gabon;2016;143;2.19;134;2.07;141;2.05;141;2.28;142;2.12;142;2.07;144;2.52
Eritrea;2016;144;2.17;140;2.01;139;2.06;150;2.16;136;2.25;146;2.03;146;2.50
Chad;2016;145;2.16;133;2.08;136;2.07;121;2.41;149;2.06;141;2.07;155;2.25
Kyrgyz Republic;2016;146;2.16;156;1.80;150;1.96;152;2.10;151;1.96;115;2.39;126;2.72
Madagascar;2016;147;2.15;112;2.33;131;2.12;149;2.17;153;1.93;148;2.01;151;2.35
Cameroon;2016;148;2.15;132;2.09;125;2.21;155;1.98;124;2.32;145;2.04;154;2.29
Iraq;2016;149;2.15;139;2.01;153;1.87;134;2.33;150;1.97;149;1.98;135;2.66
Afghanistan;2016;150;2.14;138;2.01;154;1.84;125;2.38;139;2.15;155;1.77;137;2.61
Zimbabwe;2016;151;2.08;144;2.00;123;2.21;153;2.08;141;2.13;150;1.95;158;2.13
Lao PDR;2016;152;2.07;155;1.85;155;1.76;148;2.18;144;2.10;156;1.76;133;2.68
Tajikistan;2016;153;2.06;150;1.93;130;2.13;151;2.12;143;2.12;144;2.04;159;2.04
Lesotho;2016;154;2.03;151;1.91;149;1.96;158;1.84;138;2.16;151;1.92;150;2.35
Sierra Leone;2016;155;2.03;152;1.91;137;2.07;138;2.31;155;1.85;157;1.74;156;2.23
Equatorial Guinea;2016;156;1.88;154;1.88;158;1.50;156;1.89;157;1.75;152;1.89;153;2.32
Mauritania;2016;157;1.87;131;2.14;157;1.54;154;2.00;158;1.74;159;1.54;157;2.14
Somalia;2016;158;1.75;159;1.29;156;1.57;157;1.86;156;1.85;160;1.51;152;2.35
Haiti;2016;159;1.72;158;1.70;159;1.47;159;1.81;159;1.68;158;1.56;160;2.02
Syrian Arab Republic;2016;160;1.60;160;1.11;160;1.24;160;1.36;160;1.39;138;2.10;147;2.40
