AÑO_FABRICACIÓN;VEHÍCULOS;SECTOR_PRODUCTIVO;anno
1950;3;Otros Sectores Productivos;2016
1949;2;Otros Sectores Productivos;2016
1948;0;Otros Sectores Productivos;2016
1947;1;Otros Sectores Productivos;2016
1946;0;Otros Sectores Productivos;2016
1945;0;Otros Sectores Productivos;2016
1943;0;Otros Sectores Productivos;2016
1942;1;Otros Sectores Productivos;2016
1941;1;Otros Sectores Productivos;2016
1940;0;Otros Sectores Productivos;2016
1939;1;Otros Sectores Productivos;2016
1930;0;Otros Sectores Productivos;2016
1923;0;Otros Sectores Productivos;2016
1902;0;Otros Sectores Productivos;2016
1900;0;Otros Sectores Productivos;2016
1928;1;Otros Sectores Productivos;2016
2016;250;S/I;2016
2015;920;S/I;2016
2014;1.019;S/I;2016
2013;1.006;S/I;2016
2012;1.759;S/I;2016
2011;1.619;S/I;2016
2010;1.321;S/I;2016
2009;1.288;S/I;2016
2008;1.853;S/I;2016
2007;1.980;S/I;2016
2006;1.914;S/I;2016
2005;1.752;S/I;2016
2004;1.597;S/I;2016
2003;1.337;S/I;2016
2002;1.255;S/I;2016
2001;1.313;S/I;2016
2000;1.461;S/I;2016
1999;916;S/I;2016
1998;2.885;S/I;2016
1997;2.295;S/I;2016
1996;2.712;S/I;2016
1995;2.282;S/I;2016
1994;1.938;S/I;2016
1993;2.316;S/I;2016
1992;1.839;S/I;2016
1991;1.037;S/I;2016
1990;1.121;S/I;2016
1989;1.342;S/I;2016
1988;1.075;S/I;2016
1987;778;S/I;2016
1986;462;S/I;2016
1985;453;S/I;2016
1984;265;S/I;2016
1983;252;S/I;2016
1982;348;S/I;2016
1981;1.115;S/I;2016
1980;801;S/I;2016
1979;325;S/I;2016
1978;217;S/I;2016
1977;171;S/I;2016
1976;121;S/I;2016
1975;153;S/I;2016
1974;434;S/I;2016
1973;95;S/I;2016
1972;221;S/I;2016
1971;77;S/I;2016
1970;114;S/I;2016
1969;59;S/I;2016
1968;111;S/I;2016
1967;93;S/I;2016
1966;45;S/I;2016
1965;7;S/I;2016
1964;3;S/I;2016
1963;3;S/I;2016
1962;17;S/I;2016
1961;21;S/I;2016
1960;17;S/I;2016
1959;0;S/I;2016
1958;1;S/I;2016
1957;3;S/I;2016
1956;5;S/I;2016
1955;0;S/I;2016
1954;2;S/I;2016
1953;0;S/I;2016
1952;0;S/I;2016
1951;1;S/I;2016
1950;0;S/I;2016
1949;0;S/I;2016
1948;0;S/I;2016
1947;0;S/I;2016
1946;0;S/I;2016
1945;0;S/I;2016
1943;0;S/I;2016
1942;1;S/I;2016
1941;0;S/I;2016
1940;0;S/I;2016
1939;0;S/I;2016
1930;0;S/I;2016
1923;0;S/I;2016
1902;0;S/I;2016
1900;0;S/I;2016
1928;1;S/I;2016
